model_type,TP_C0,TP_C1,TN_C0,TN_C1,FP_C0,FP_C1,FN_C0,FN_C1,DSC_C0,DSC_C1,IoU_C0,IoU_C1,ACC_C0,ACC_C1,BACC_C0,BACC_C1,ARI_C0,ARI_C1,AUC_C0,AUC_C1,KAP_C0,KAP_C1,Sensitivity_C0,Sensitivity_C1,Specificity_C0,Specificity_C1,PREC_C0,PREC_C1,VS_C0,VS_C1,MCC_C0,MCC_C1,nMCC_C0,nMCC_C1,aMCC_C0,aMCC_C1
Base_Only,785251.83333333,13635.83333333,13635.83333333,785251.83333333,2218.83333333,1709.5,1709.5,2218.83333333,0.99750244,0.8785642,0.99502062,0.78632303,0.99510681,0.99510681,0.9314894,0.9314894,0.87172973,0.87172973,0.9314894,0.9314894,0.87606872,0.87606872,0.99782566,0.86515315,0.86515315,0.99782566,0.99717999,0.89382076,0.99944324,0.97153111,0.87654678,0.87654678,0.93827339,0.93827339,0.87654678,0.87654678
Base_plus_LSTM,785076.0,13790.5,13790.5,785076.0,2064.16666667,1885.33333333,1885.33333333,2064.16666667,0.99748837,0.87935619,0.99499297,0.78791896,0.99508044,0.99508044,0.93641009,0.93641009,0.87249068,0.87249068,0.93641009,0.93641009,0.87684617,0.87684617,0.99760213,0.87521805,0.87521805,0.99760213,0.99737521,0.88490963,0.99949367,0.97430057,0.87721298,0.87721298,0.93860649,0.93860649,0.87721298,0.87721298
